"station","date","time","wind_mph","vis_mi","weather","sky_cond","air_temp_F","dewpoint_F","air_temp_max_6h_F","air_temp_min_6h_F","rel_hum_perc","wind_chill_F","heat_indx_F","pres_alt_in","pres_sea_mb","precip_1hr_in","precip_3h_in","precip_6h_in","download_date","datetime"
"KLEW","2021-06-04","16:56","S 9","10","Fair","CLR","76","63",NA,NA,"64%",NA,"78","29.8","1009.5",NA,NA,NA,"2021-06-07","2021-06-04 16:56:00"
"KLEW","2021-06-04","17:56","SW 9","10","Fair","CLR","77","62",NA,NA,"60%",NA,"79","29.79","1009.4",NA,NA,NA,"2021-06-07","2021-06-04 17:56:00"
"KLEW","2021-06-04","18:56","S 10","10","Fair","CLR","76","62",NA,NA,"62%",NA,"78","29.81","1009.9",NA,NA,NA,"2021-06-07","2021-06-04 18:56:00"
"KLEW","2021-06-04","19:56","S 5","10","Fair","CLR","73","62","77","73","69%",NA,NA,"29.82","1010.3",NA,NA,NA,"2021-06-07","2021-06-04 19:56:00"
"KLEW","2021-06-04","20:56","SE 5","10","Fair","CLR","69","63",NA,NA,"81%",NA,NA,"29.83","1010.6",NA,NA,NA,"2021-06-07","2021-06-04 20:56:00"
"KLEW","2021-06-04","21:56","S 5","10","Fair","CLR","68","63",NA,NA,"84%",NA,NA,"29.84","1011",NA,NA,NA,"2021-06-07","2021-06-04 21:56:00"
"KLEW","2021-06-04","22:56","Calm","10","Fair","CLR","64","62",NA,NA,"93%",NA,NA,"29.84","1010.8",NA,NA,NA,"2021-06-07","2021-06-04 22:56:00"
"KLEW","2021-06-04","23:56","Calm","9","Fair","CLR","60","60",NA,NA,"100%",NA,NA,"29.83","1010.6",NA,NA,NA,"2021-06-07","2021-06-04 23:56:00"
"KLEW","2021-06-05","00:56","Calm","7","Fair","CLR","59","59",NA,NA,"100%",NA,NA,"29.83","1010.6",NA,NA,NA,"2021-06-07","2021-06-05 00:56:00"
"KLEW","2021-06-05","01:56","Calm","2.5","Fog/Mist","CLR","59","59","73","58","100%",NA,NA,"29.83","1010.5",NA,NA,NA,"2021-06-07","2021-06-05 01:56:00"
"KLEW","2021-06-05","02:56","Calm","9","Fair","CLR","57","57",NA,NA,"100%",NA,NA,"29.82","1010.3",NA,NA,NA,"2021-06-07","2021-06-05 02:56:00"
"KLEW","2021-06-05","03:56","Calm","10","Mostly Cloudy","BKN110","58","58",NA,NA,"100%",NA,NA,"29.83","1010.8",NA,NA,NA,"2021-06-07","2021-06-05 03:56:00"
"KLEW","2021-06-05","04:56","S 3","10","A Few Clouds","FEW120","57","57",NA,NA,"100%",NA,NA,"29.83","1010.5",NA,NA,NA,"2021-06-07","2021-06-05 04:56:00"
"KLEW","2021-06-05","05:56","Calm","10","Fair","CLR","57","56",NA,NA,"96%",NA,NA,"29.83","1010.7",NA,NA,NA,"2021-06-07","2021-06-05 05:56:00"
"KLEW","2021-06-05","06:56","Calm","10","Fair","CLR","62","60",NA,NA,"93%",NA,NA,"29.83","1010.5",NA,NA,NA,"2021-06-07","2021-06-05 06:56:00"
"KLEW","2021-06-05","07:56","S 3","10","Fair","CLR","67","63","67","55","87%",NA,NA,"29.81","1010",NA,NA,NA,"2021-06-07","2021-06-05 07:56:00"
"KLEW","2021-06-05","08:56","S 8","10","Fair","CLR","75","61",NA,NA,"62%",NA,NA,"29.81","1010",NA,NA,NA,"2021-06-07","2021-06-05 08:56:00"
"KLEW","2021-06-05","09:56","SW 10","10","Fair","CLR","78","61",NA,NA,"56%",NA,"80","29.8","1009.5",NA,NA,NA,"2021-06-07","2021-06-05 09:56:00"
