"station","date","time","wind_mph","vis_mi","weather","sky_cond","air_temp_F","dewpoint_F","air_temp_max_6h_F","air_temp_min_6h_F","rel_hum_perc","wind_chill_F","heat_indx_F","pres_alt_in","pres_sea_mb","precip_1hr_in","precip_3h_in","precip_6h_in","download_date","datetime"
"KOQU","2021-06-03","18:50","SW 12","5","Fog/Mist","OVC006","64","63",NA,NA,"94%",NA,NA,"29.97",NA,NA,NA,NA,"2021-06-07","2021-06-03 18:50:00"
"KOQU","2021-06-03","19:50","SW 16","2.5","Fog/Mist","OVC006","64","63",NA,NA,"94%",NA,NA,"29.98",NA,NA,NA,NA,"2021-06-07","2021-06-03 19:50:00"
"KOQU","2021-06-03","20:50","SW 12","4","Fog/Mist","OVC005","64","63",NA,NA,"94%",NA,NA,"29.97",NA,NA,NA,NA,"2021-06-07","2021-06-03 20:50:00"
"KOQU","2021-06-03","21:50","SW 16","2","Fog/Mist","OVC005","64","63",NA,NA,"94%",NA,NA,"29.98",NA,NA,NA,NA,"2021-06-07","2021-06-03 21:50:00"
"KOQU","2021-06-03","22:50","SW 17","1.5","Fog/Mist","OVC003","63","63",NA,NA,"100%",NA,NA,"29.96",NA,NA,NA,NA,"2021-06-07","2021-06-03 22:50:00"
"KOQU","2021-06-04","7:50","SW 9","2","Fog/Mist","OVC003","64","64",NA,NA,"100%",NA,NA,"29.92",NA,NA,NA,NA,"2021-06-07","2021-06-04 07:50:00"
"KOQU","2021-06-04","8:50","SW 10","2.5","Fog/Mist","OVC004","66","64",NA,NA,"94%",NA,NA,"29.93",NA,NA,NA,NA,"2021-06-07","2021-06-04 08:50:00"
"KOQU","2021-06-04","9:50","SW 10","3","Fog/Mist","OVC004","66","64",NA,NA,"94%",NA,NA,"29.92",NA,NA,NA,NA,"2021-06-07","2021-06-04 09:50:00"
"KOQU","2021-06-04","10:50","SW 12","4","Fog/Mist","OVC005","66","64",NA,NA,"94%",NA,NA,"29.93",NA,NA,NA,NA,"2021-06-07","2021-06-04 10:50:00"
"KOQU","2021-06-04","11:50","W 9","4","Fog/Mist","BKN006 OVC010","70","64",NA,NA,"83%",NA,NA,"29.92",NA,NA,NA,NA,"2021-06-07","2021-06-04 11:50:00"
